wineries-bodega-ruca-malen-wines-malbec-2014;Ruca Malen Yauquén Malbec;Mendoza;2014;--
wineries-dona-paula-wines-estate-lujan-de-cuyo-mendoza-cabernet-sauvignon-2011;Doña Paula Estate Cabernet Sauvignon;Lujan de Cuyo;2011;--
wineries-cuarto-dominio-wines-cuarenta-lote-44-malbec-2014;Bodega Cuarto Dominio Lote 44 Malbec;Mendoza;2014;--
wineries-andeluna-cellars-wines-1505586-torronts-2011;Andeluna 1300 Torrontés;Tupungato;2011;--
wineries-alta-vista-wines-classic-cabernet-sauvignon-2013;Alta Vista Classic Cabernet Sauvignon;Mendoza;2013;--
wineries-ar-bodega-el-esteco-wines-don-david-reserve-torrontes-2014;Bodega El Esteco Don David Reserve Torrontes;Valle de Cafayate;2014;--
wineries-huarpe-wines-taymente-malbec-2014;Huarpe Taymente Malbec;Mendoza;2014;--
wineries-ar-bodega-el-esteco-wines-don-david-reserve-torrontes-2015;Bodega El Esteco Don David Reserve Torrontes;Valle de Cafayate;2015;--
wineries-de-los-clop-wines-los-clop-malbec-2013;Bodegas de Los Clop Malbec;Mendoza;2013;--
wineries-amalaya-wines-riesling-torrontes-2016;Amalaya Blanco de Corte (Riesling - Torrontés);Salta;2016;--
wineries-casarena-wines-cabernet-sauvignon-2014;Casarena Estate Cabernet Sauvignon;Mendoza;2014;--
wineries-familia-belasco-wines-de-baquedano-rosa-malbec-brut-ros-8888;Belasco de Baquedano Rosa de Argentina Brut Nature Rosé;Mendoza;--;--
wineries-ar-bodega-finca-las-moras-wines-las-moras-cabernet-sauvignon-2016;Bodega Finca Las Moras Las Moras Cabernet Sauvignon;San Juan;2016;--
wineries-casarena-wines-chardonnay-505-vineyard-2015;Casarena 505 Vineyards Chardonnay;Mendoza;2015;--
wineries-norton-wines-reserva-cabernet-sauvignon-2014;Norton Reserva Cabernet Sauvignon;Lujan de Cuyo;2014;--
wineries-ar-bodega-el-esteco-wines-malbec-rose-2015;Bodega El Esteco Michel Torino Malbec;Valle de Cafayate;2015;Rosé
wineries-tierra-brisa-wines-malbec-2015;Tierra Brisa Malbec;Mendoza;2015;--
wineries-ninety-plus-wines-lot-no-53-cabernet-sauvignon-2015;90+ Cellars Lot 53 Cabernet Sauvignon;Mendoza;2015;--
wineries-spier-cellars-wines-21-gables-pinotage-2013;Spier 21 Gables Pinotage;Western Cape;2013;--
wineries-spice-route-wines-chakalaka-2012;Spice Route Chakalaka;Swartland;2012;--
wineries-za-cavalli-wines-cheval-d-or-warlord-2009;Cavalli Warlord Red Blend;Stellenbosch;2009;--
wineries-meerlust-estate-wines-cabernet-sauvignon-2012;Meerlust Cabernet Sauvignon;Stellenbosch;2012;--
wineries-warwick-wine-estate-wines-stellenbosch-trilogy-2012;Warwick Trilogy;Stellenbosch;2012;--
wineries-delheim-wines-vera-cruz-pinotage-2013;Delheim Vera Cruz Pinotage;Stellenbosch;2013;--
wineries-vuurberg-wines-reserve-2012;Vuurberg Reserve;Stellenbosch;2012;--
wineries-quinta-do-noval-wines-vintage-port-2011;Quinta do Noval;Vintage Port;2011;--
wineries-fairview-wines-wines-beacon-shiraz-2013;Fairview The Beacon Shiraz;Swartland;2013;--
wineries-za-lismore-wines-greyton-sauvignon-blanc-2013;Lismore Sauvignon;Western Cape;2013;Blanc
wineries-quinta-do-vale-dona-maria-wines-curriculum-vitae-douro-2005;Vale Dona Maria Curriculum Vitae;Douro;2005;--
wineries-the-sadie-family-wines-pty-ltd-wines-skerpioen-2012;The Sadie Family Die Ouwingerdreeks Skerpioen;Swartland;2012;--
wineries-cossart-gordon-wines-madeira-terrantez-1977;Cossart Gordon  Terrantez;Madeira;1977;--
